,Mouse FACS astrocytes,Mouse FACS astrocytes,Mouse Hepacam immunopanned astrocytes,Mouse Hepacam immunopanned astrocytes,Mouse Hepacam immunopanned astrocytes,Mouse Hepacam immunopanned astrocytes,Mouse neurons,Mouse neurons,Mouse oligodendrocytes,Mouse oligodendrocytes,Mouse oligodendrocytes,Mouse oligodendrocytes,Mouse oligodendrocytes,Mouse oligodendrocytes,Mouse microglia,Mouse microglia,Mouse endothelial,Mouse endothelial,Mouse whole brain,Mouse whole brain,Mouse whole brain
1110006O24Rik,0.4,0.2,0.1,0.1,0.5,0.1,0.2,0.2,0.7,0.6,1.2,1.0,0.7,1.1,0.2,0.7,0.7,0.5,0.7,0.8,0.7
1110007C09Rik,3.7,2.3,0.9,2.2,2.6,1.6,8.4,9.8,6.1,6.0,45.8,56.6,85.6,86.7,101.7,101.6,29.4,33.0,6.3,6.4,6.1
1110008F13Rik,11.4,8.6,13.6,15.0,13.2,15.4,36.3,34.0,37.1,50.7,33.9,45.3,36.6,41.1,47.2,56.0,47.4,60.4,42.9,42.3,43.4
1110008J03Rik,1.0,0.4,0.4,0.6,1.9,0.6,8.1,7.9,5.8,9.0,4.2,6.5,3.3,3.4,2.1,3.2,2.9,3.9,5.7,5.8,5.1
1110008L16Rik,3.2,2.0,1.5,1.2,1.2,0.7,1.2,1.9,2.1,2.2,2.0,2.5,0.7,1.1,1.1,0.6,4.3,4.8,1.7,1.6,2.2
1110008P14Rik,4.8,4.3,3.2,4.4,5.2,6.8,22.1,18.5,9.5,16.6,14.7,18.5,23.5,28.9,7.5,12.1,9.8,10.9,26.9,34.6,25.4
1110012J17Rik,1.4,1.2,0.7,0.5,1.3,0.7,12.1,22.1,6.1,6.7,1.6,2.2,0.5,0.9,0.1,0.2,3.7,3.2,5.6,4.9,5.1
1110012L19Rik,4.4,3.0,5.3,5.4,5.6,5.8,4.9,6.4,5.2,7.3,5.9,5.8,7.3,5.1,2.3,3.3,10.2,12.3,5.0,5.7,6.9
1110014N23Rik,1.9,1.7,1.5,1.7,2.8,1.0,18.1,18.5,13.4,18.8,10.3,15.2,8.8,11.0,17.9,27.0,10.1,10.5,14.3,14.5,13.8
1110017D15Rik,0.4,0.1,0.4,0.1,0.3,0.7,1.4,1.1,0.6,0.6,0.2,0.5,0.3,0.2,0.4,1.0,0.5,0.4,6.5,4.8,6.5
1110017F19Rik,0.1,0.3,0.2,0.1,0.3,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1110018G07Rik,3.6,2.3,3.7,3.8,4.4,4.4,13.5,13.2,18.6,19.3,20.0,17.7,11.4,14.3,9.2,7.5,5.6,5.2,18.2,17.7,20.1
1110018J18Rik,2.0,1.5,2.0,2.5,6.1,1.3,1.4,1.2,8.8,8.3,9.1,7.0,4.4,4.2,5.5,4.1,24.8,26.7,4.5,4.6,3.7
1110020A21Rik,0.4,4.5,0.5,1.4,3.7,1.0,0.7,0.9,0.7,1.2,0.4,0.4,0.3,1.2,0.1,0.1,1.7,1.4,0.5,0.4,0.5
1110020G09Rik,11.0,10.5,22.6,12.4,17.6,15.8,6.2,6.5,12.3,7.5,6.3,3.8,3.0,4.5,2.3,1.2,4.8,5.0,12.0,11.9,11.3
1110021J02Rik,3.7,2.9,3.1,2.2,2.9,2.3,6.4,7.8,7.8,6.3,7.1,6.8,4.4,5.2,2.4,2.3,5.5,4.9,6.7,5.9,7.6
1110021L09Rik,4.1,3.4,4.8,2.9,3.8,3.0,5.4,4.6,10.7,10.4,2.6,3.1,0.4,0.4,1.7,1.7,2.3,2.5,6.3,6.1,7.2
1110028C15Rik,5.7,5.7,4.7,2.6,6.4,4.0,3.1,3.2,5.3,2.6,2.1,1.0,0.4,0.6,2.7,1.9,6.3,6.0,3.2,2.8,3.2
1110031I02Rik,4.1,2.9,6.2,5.2,7.1,5.0,4.7,4.3,7.0,10.8,4.9,6.9,6.4,7.0,4.6,5.7,8.2,8.0,4.4,4.1,4.4
1110032A03Rik,4.0,4.2,9.0,7.6,8.8,9.4,3.4,3.4,4.6,6.2,7.9,8.8,16.6,13.5,4.8,3.4,5.2,5.5,4.2,4.2,4.6
1110032A04Rik,0.2,0.1,0.3,0.1,0.1,0.1,0.4,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.2
1110032F04Rik,0.0,0.1,0.2,0.1,0.1,0.1,1.0,0.9,2.3,2.1,0.5,0.3,0.1,0.3,0.1,0.1,0.1,0.1,2.3,2.2,3.1
1110034A24Rik,0.1,0.1,0.8,0.6,1.0,1.4,3.4,3.9,2.8,3.9,1.9,2.8,2.2,1.5,1.5,0.9,1.6,1.9,3.1,2.8,3.0
1110034B05Rik,8.3,9.8,7.6,4.1,6.7,3.0,5.4,6.3,9.4,7.3,5.2,2.8,2.0,2.6,1.1,0.4,3.2,4.1,4.5,4.3,5.2
1110034G24Rik,2.0,1.3,0.4,0.7,2.1,0.6,2.9,3.0,4.7,5.9,2.7,3.3,1.9,2.7,3.6,6.0,29.4,31.7,3.7,3.2,3.9
1110036E04Rik,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1110037F02Rik,3.2,2.8,3.1,2.1,3.3,3.3,3.9,5.5,6.6,5.4,4.3,3.9,1.0,1.3,2.6,1.6,10.9,10.5,5.7,5.5,6.9
1110038B12Rik,6.7,5.0,9.1,7.8,8.2,8.6,6.9,9.1,4.2,11.0,6.4,11.3,1.0,3.2,8.3,5.3,10.8,16.2,7.7,7.1,8.1
1110038D17Rik,2.9,2.1,1.2,1.0,2.5,0.7,3.5,2.9,3.5,4.2,3.1,3.5,2.3,2.9,6.1,6.4,4.9,5.4,4.2,4.3,4.6
1110038F14Rik,3.8,3.1,2.1,2.4,1.8,2.9,7.0,7.6,14.2,21.0,9.9,11.2,7.0,6.7,7.1,6.7,12.8,14.9,11.4,11.1,11.5
1110046J04Rik,0.1,0.1,0.1,2.0,0.1,0.1,0.3,0.6,0.1,0.6,0.3,1.2,0.6,1.7,0.1,0.2,0.1,0.2,0.7,0.8,0.4
1110049F12Rik,6.8,4.5,6.3,8.0,7.5,6.7,24.9,23.5,19.2,29.8,18.4,27.1,35.3,34.5,22.5,28.5,12.0,13.4,13.5,14.8,13.0
1110051M20Rik,3.8,2.9,4.1,3.5,5.7,4.1,17.7,20.1,14.6,21.2,12.6,16.9,13.2,13.5,4.0,4.7,5.1,5.1,15.1,13.1,16.3
1110054M08Rik,0.1,0.1,0.1,0.1,0.1,0.1,1.4,1.1,3.6,2.8,0.6,0.6,0.3,0.5,2.0,2.6,3.6,3.8,2.0,2.9,2.1
1110054O05Rik,2.0,1.2,1.7,1.7,1.8,1.8,2.8,2.5,4.1,5.0,3.6,4.6,1.9,2.7,4.2,3.0,1.4,1.6,3.5,3.1,3.6
1110057K04Rik,6.0,7.2,10.2,9.6,9.7,9.4,6.6,11.6,17.7,24.8,34.6,36.4,43.5,42.6,13.1,9.8,6.7,6.5,14.1,13.2,14.6
1110058L19Rik,5.8,7.0,11.1,7.1,13.2,13.0,14.4,12.1,12.6,16.7,11.2,13.9,9.9,9.7,5.8,7.4,13.7,16.7,12.6,12.0,13.6
1110059E24Rik,8.5,10.0,19.1,12.9,15.1,14.4,6.0,5.8,10.4,9.1,7.1,3.5,3.6,4.4,2.8,3.1,14.1,16.6,8.9,9.1,10.5
1110059G10Rik,1.4,0.9,1.8,1.1,1.1,1.0,2.1,1.9,3.0,2.2,1.6,1.0,1.4,1.2,0.8,0.8,3.6,4.1,1.7,1.8,2.2
1110059M19Rik,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1110065P20Rik,3.0,4.1,6.5,6.3,6.7,5.3,28.3,28.7,20.3,35.2,24.1,36.7,44.8,45.4,10.0,17.5,21.3,28.0,33.0,36.5,27.6
1110067D22Rik,11.3,11.5,15.0,10.7,15.6,15.5,14.2,16.9,31.0,22.8,7.4,5.2,0.7,1.8,0.9,0.7,6.8,7.3,18.9,20.5,19.6
1190002F15Rik,0.1,0.1,1.0,0.4,0.1,0.2,0.1,0.1,0.5,0.7,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.2,0.2,0.2
1190002H23Rik,26.7,23.4,35.1,25.3,33.3,27.7,3.8,6.7,83.2,109.8,22.2,27.0,1.3,4.6,3.3,2.4,71.0,75.6,29.6,31.8,31.3
1190002N15Rik,1.5,1.6,3.0,2.1,2.7,3.4,18.7,21.3,11.0,8.7,17.2,7.5,4.5,5.1,1.4,1.1,2.5,2.3,6.2,5.1,5.7
1190003J15Rik,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1
1190003K10Rik,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1190005F20Rik,5.2,4.1,2.8,1.7,4.2,2.9,2.7,3.3,5.6,5.5,3.4,2.5,1.2,1.2,2.7,2.9,2.8,2.9,4.0,3.7,5.1
1190005I06Rik,1.4,1.9,1.1,0.7,2.6,1.3,2.2,3.1,1.4,0.8,1.2,1.9,4.0,3.4,0.9,1.7,0.3,0.3,2.9,2.2,2.0
